start_time,end_time,max_value,avg_value,length,duration,time_diff
2024-05-28 08:40:58+00:00,2024-05-28 08:42:41+00:00,81.02,71.1383495145631,103,103.0,23.0
2024-05-28 08:43:02+00:00,2024-05-28 08:43:17+00:00,70.93,66.95333333333333,15,15.0,124.0
2024-05-28 08:43:18+00:00,2024-05-28 08:43:42+00:00,72.94,69.405,24,24.0,16.0
2024-05-28 08:43:47+00:00,2024-05-28 08:43:54+00:00,72.37,68.42714285714285,7,7.0,29.0
2024-05-28 08:43:56+00:00,2024-05-28 08:45:32+00:00,81.03,69.6934375,96,96.0,9.0
2024-05-28 08:45:47+00:00,2024-05-28 08:46:08+00:00,67.52000000000001,66.27428571428571,21,21.0,111.0
2024-05-28 08:47:40+00:00,2024-05-28 08:47:59+00:00,78.18,70.82052631578948,19,19.0,82.0
2024-05-28 08:48:22+00:00,2024-05-28 08:48:25+00:00,70.11,68.3,3,3.0,42.0
2024-05-28 08:48:40+00:00,2024-05-28 08:48:46+00:00,78.8,70.07,6,6.0,18.0
2024-05-28 08:48:47+00:00,2024-05-28 08:49:58+00:00,82.17,70.37915492957747,71,71.0,7.0
2024-05-28 08:50:03+00:00,2024-05-28 08:51:35+00:00,80.27,73.44902173913043,92,92.0,76.0
2024-05-28 08:51:36+00:00,2024-05-28 08:52:12+00:00,84.34,71.20833333333333,36,36.0,93.0
2024-05-28 08:52:16+00:00,2024-05-28 08:55:18+00:00,88.43,73.22032967032968,182,182.0,40.0
2024-05-28 08:55:23+00:00,2024-05-28 08:55:26+00:00,65.50999999999999,65.39333333333333,3,3.0,187.0
2024-05-28 08:55:27+00:00,2024-05-28 08:55:32+00:00,65.62,65.26599999999999,5,5.0,4.0
2024-05-28 08:55:36+00:00,2024-05-28 08:56:53+00:00,88.84,73.08168831168831,77,77.0,9.0
2024-05-28 08:56:56+00:00,2024-05-28 08:57:02+00:00,68.69,66.54,6,6.0,80.0
2024-05-28 08:57:07+00:00,2024-05-28 08:57:25+00:00,74.12,69.66888888888889,18,18.0,11.0
2024-05-28 08:57:26+00:00,2024-05-28 08:59:09+00:00,86.28,72.11339805825243,103,103.0,19.0
2024-05-28 08:59:12+00:00,2024-05-28 09:00:11+00:00,73.55,67.78,59,59.0,106.0
2024-05-28 09:00:12+00:00,2024-05-28 09:00:21+00:00,67.72999999999999,66.35,9,9.0,60.0
2024-05-28 09:00:22+00:00,2024-05-28 09:01:32+00:00,79.58,70.7282857142857,70,70.0,10.0
2024-05-28 09:01:36+00:00,2024-05-28 09:04:06+00:00,83.24,70.79586666666665,150,150.0,74.0
2024-05-28 09:04:16+00:00,2024-05-28 09:04:19+00:00,66.2,65.64666666666666,3,3.0,160.0
2024-05-28 09:04:39+00:00,2024-05-28 09:06:04+00:00,85.45,72.07576470588235,85,85.0,23.0
2024-05-28 09:06:42+00:00,2024-05-28 09:08:43+00:00,79.78,70.33611570247933,121,121.0,123.0
2024-05-28 09:08:44+00:00,2024-05-28 09:10:46+00:00,80.77,70.6210655737705,122,122.0,122.0
2024-05-28 09:10:49+00:00,2024-05-28 09:10:57+00:00,69.46000000000001,67.32625,8,8.0,125.0
2024-05-28 09:11:11+00:00,2024-05-28 09:11:21+00:00,71.47999999999999,68.559,10,10.0,22.0
2024-05-28 09:11:36+00:00,2024-05-28 09:11:55+00:00,71.14,68.80894736842104,19,19.0,25.0
2024-05-28 09:11:59+00:00,2024-05-28 09:12:12+00:00,73.44,68.50846153846155,13,13.0,23.0
2024-05-28 09:12:20+00:00,2024-05-28 09:15:03+00:00,83.99,71.36785276073618,163,163.0,21.0
2024-05-28 09:15:07+00:00,2024-05-28 09:15:24+00:00,69.12,67.08,17,17.0,167.0
2024-05-28 09:15:33+00:00,2024-05-28 09:15:42+00:00,73.69,67.42666666666668,9,9.0,26.0
2024-05-28 09:16:10+00:00,2024-05-28 09:16:18+00:00,66.46000000000001,65.575,8,8.0,37.0
2024-05-28 09:16:25+00:00,2024-05-28 09:17:44+00:00,77.53,69.53468354430379,79,79.0,15.0
2024-05-28 09:17:53+00:00,2024-05-28 09:17:56+00:00,65.89,65.61,3,3.0,88.0
2024-05-28 09:18:00+00:00,2024-05-28 09:20:10+00:00,83.71,69.22515384615384,130,130.0,7.0
2024-05-28 09:20:11+00:00,2024-05-28 09:20:14+00:00,66.14,65.66666666666667,3,3.0,131.0
2024-05-28 09:20:21+00:00,2024-05-28 09:20:25+00:00,68.53999999999999,66.65,4,4.0,10.0
2024-05-28 09:21:16+00:00,2024-05-28 09:21:24+00:00,71.57,67.30875,8,8.0,55.0
2024-05-28 09:21:27+00:00,2024-05-28 09:22:38+00:00,75.37,68.85718309859155,71,71.0,11.0
2024-05-28 09:23:12+00:00,2024-05-28 09:23:17+00:00,66.14,65.52000000000001,5,5.0,105.0
2024-05-28 09:23:59+00:00,2024-05-28 09:24:42+00:00,76.63,70.38790697674418,43,43.0,47.0
2024-05-28 09:25:09+00:00,2024-05-28 09:26:39+00:00,89.3,70.20788888888889,90,90.0,70.0
2024-05-28 09:26:41+00:00,2024-05-28 09:27:04+00:00,81.81,70.66739130434782,23,23.0,92.0
2024-05-28 09:27:07+00:00,2024-05-28 09:27:14+00:00,67.35,66.75,7,7.0,26.0
2024-05-28 09:27:17+00:00,2024-05-28 09:29:51+00:00,82.22,70.60181818181819,154,154.0,10.0
2024-05-28 09:29:52+00:00,2024-05-28 09:32:30+00:00,80.62,71.01715189873417,158,158.0,155.0
2024-05-28 09:33:03+00:00,2024-05-28 09:33:10+00:00,68.47,66.76,7,7.0,191.0
2024-05-28 09:33:18+00:00,2024-05-28 09:34:23+00:00,80.03,71.67261538461538,65,65.0,15.0
2024-05-28 09:34:58+00:00,2024-05-28 09:35:09+00:00,75.03,68.20454545454545,11,11.0,100.0
2024-05-28 09:35:37+00:00,2024-05-28 09:36:35+00:00,79.81,73.36172413793105,58,58.0,39.0
2024-05-28 09:36:52+00:00,2024-05-28 09:36:56+00:00,70.25999999999999,66.9125,4,4.0,75.0
2024-05-28 09:37:45+00:00,2024-05-28 09:38:15+00:00,73.53,68.70733333333332,30,30.0,53.0
2024-05-28 09:38:19+00:00,2024-05-28 09:38:34+00:00,70.32,68.05133333333333,15,15.0,34.0
2024-05-28 09:38:39+00:00,2024-05-28 09:38:42+00:00,70.4,69.10000000000001,3,3.0,20.0
2024-05-28 09:38:44+00:00,2024-05-28 09:38:57+00:00,73.4,70.60384615384615,13,13.0,5.0
2024-05-28 09:39:05+00:00,2024-05-28 09:39:13+00:00,67.84,66.78625,8,8.0,21.0
2024-05-28 09:39:24+00:00,2024-05-28 09:39:39+00:00,70.94,68.30666666666666,15,15.0,19.0
2024-05-28 09:39:40+00:00,2024-05-28 09:41:10+00:00,83.11,70.85022222222223,90,90.0,16.0
2024-05-28 09:41:23+00:00,2024-05-28 09:43:16+00:00,80.77,71.3546017699115,113,113.0,103.0
2024-05-28 09:43:19+00:00,2024-05-28 09:43:22+00:00,66.67,65.95333333333333,3,3.0,116.0
2024-05-28 09:43:36+00:00,2024-05-28 09:44:09+00:00,84.88,70.69606060606061,33,33.0,17.0
2024-05-28 09:44:19+00:00,2024-05-28 09:45:46+00:00,80.22,70.58402298850575,87,87.0,43.0
2024-05-28 09:45:47+00:00,2024-05-28 09:47:57+00:00,88.87,71.72561538461538,130,130.0,88.0
2024-05-28 09:47:58+00:00,2024-05-28 09:48:09+00:00,68.07,66.43727272727273,11,11.0,131.0
2024-05-28 09:48:14+00:00,2024-05-28 09:48:17+00:00,67.37,66.14,3,3.0,16.0
2024-05-28 09:48:42+00:00,2024-05-28 09:48:54+00:00,70.39,66.99333333333333,12,12.0,15.0
2024-05-28 09:48:56+00:00,2024-05-28 09:50:25+00:00,79.67,69.31921348314607,89,89.0,14.0
2024-05-28 09:51:18+00:00,2024-05-28 09:51:22+00:00,70.3,67.905,4,4.0,142.0
2024-05-28 09:51:23+00:00,2024-05-28 09:53:01+00:00,84.49,71.35530612244898,98,98.0,5.0
2024-05-28 09:53:09+00:00,2024-05-28 09:53:33+00:00,79.22,71.07666666666667,24,24.0,106.0
2024-05-28 09:53:58+00:00,2024-05-28 09:54:03+00:00,79.54,69.868,5,5.0,49.0
2024-05-28 09:54:04+00:00,2024-05-28 09:54:22+00:00,73.28,68.95722222222223,18,18.0,6.0
2024-05-28 09:54:37+00:00,2024-05-28 09:54:44+00:00,70.0,66.3442857142857,7,7.0,33.0
2024-05-28 09:54:45+00:00,2024-05-28 09:54:50+00:00,67.09,66.288,5,5.0,8.0
2024-05-28 09:54:51+00:00,2024-05-28 09:55:01+00:00,77.24,71.06,10,10.0,6.0
2024-05-28 09:55:05+00:00,2024-05-28 09:55:10+00:00,70.88,68.17999999999999,5,5.0,14.0
2024-05-28 09:55:15+00:00,2024-05-28 09:55:44+00:00,81.6,71.6348275862069,29,29.0,10.0
2024-05-28 09:55:47+00:00,2024-05-28 09:55:51+00:00,71.55,69.0475,4,4.0,32.0
2024-05-28 09:56:29+00:00,2024-05-28 09:57:26+00:00,80.58,73.06631578947368,57,57.0,42.0
2024-05-28 09:57:32+00:00,2024-05-28 09:57:59+00:00,73.42,67.76962962962963,27,27.0,63.0
2024-05-28 09:58:00+00:00,2024-05-28 09:58:31+00:00,71.0,67.85806451612903,31,31.0,28.0
2024-05-28 09:58:38+00:00,2024-05-28 09:58:53+00:00,72.24,66.85266666666666,15,15.0,38.0
2024-05-28 09:58:57+00:00,2024-05-28 09:59:07+00:00,75.93,68.353,10,10.0,19.0
2024-05-28 09:59:09+00:00,2024-05-28 09:59:13+00:00,67.93,66.24000000000001,4,4.0,12.0
2024-05-28 09:59:15+00:00,2024-05-28 10:01:00+00:00,81.05,69.72942857142857,105,105.0,6.0
2024-05-28 10:01:07+00:00,2024-05-28 10:03:14+00:00,80.82,69.14228346456693,127,127.0,112.0
2024-05-28 10:03:16+00:00,2024-05-28 10:04:23+00:00,85.33,71.41865671641791,67,67.0,129.0
2024-05-28 10:04:26+00:00,2024-05-28 10:04:35+00:00,68.0,66.25888888888889,9,9.0,70.0
2024-05-28 10:05:20+00:00,2024-05-28 10:06:11+00:00,78.3,69.72490196078431,51,51.0,54.0
2024-05-28 10:06:12+00:00,2024-05-28 10:06:18+00:00,66.55,65.64833333333333,6,6.0,52.0
2024-05-28 10:06:22+00:00,2024-05-28 10:06:45+00:00,86.57,74.59652173913044,23,23.0,10.0
2024-05-28 10:07:25+00:00,2024-05-28 10:09:02+00:00,85.63,70.48556701030928,97,97.0,63.0
2024-05-28 10:09:29+00:00,2024-05-28 10:10:05+00:00,79.96,69.4636111111111,36,36.0,124.0
2024-05-28 10:10:08+00:00,2024-05-28 10:10:11+00:00,65.19,65.14333333333333,3,3.0,39.0
2024-05-28 10:10:30+00:00,2024-05-28 10:10:34+00:00,70.28,69.28999999999999,4,4.0,22.0
